Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
40:18.1,0.18,11,11,7,0.25,25234442,C,23,40
44:56.0,0.18,1,12,0,0.17,26305779,C,5,40
48:09.8,0.18,5,17,0.13,0.18,27108705,C,5,40
53:39.7,0.17,1,18,0.17,0.18,28401095,C,11,40
53:54.1,0.16,11,29,0.16,0.17,28444092,C,11,40
54:21.5,0.15,26,55,0.08,0.15,28571695,C,5,40
﻿Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,TickId,TradeMarketCenter,TradeConditions
38:21.7,0.41,3,5,0.35,0.41,59138318,C,13,77
38:25.4,0.42,1,6,0.35,0.42,59146931,C,13,77
38:28.8,0.43,1,7,0.35,0.43,59154541,C,13,77
38:39.5,0.41,1,8,0.35,0.41,59166700,C,13,77
